Szkoła,Klasa,Próg punktowy
I LO Sportowe,Klasa IA (piłki siatkowej dziewcząt),53.00
I LO Sportowe,Klasa IB (piłki siatkowej chłopców),76.00
I LO im. Bartłomieja Nowodworskiego,Klasa 1AMK (matematyka komputerowa),173.95
I LO im. Bartłomieja Nowodworskiego,Klasa 1B (mat-fiz-inf),171.95
I LO im. Bartłomieja Nowodworskiego,Klasa 1C (biol-chem-mat),175.55
I LO im. Bartłomieja Nowodworskiego,Klasa 1D (biol-chem-mat),175.55
I LO im. Bartłomieja Nowodworskiego,Klasa 1E (hist-wos-ang),175.15
I LO im. Bartłomieja Nowodworskiego,Klasa 1G (mat-geo-ang),173.65
I LO im. Bartłomieja Nowodworskiego,Klasa 1K (pol-hist-język łaciński i kultura antyczna),165.40
II LO im. Króla Jana III Sobieskiego,Klasa 1A (mat-fiz-inf),171.95
II LO im. Króla Jana III Sobieskiego,Klasa 1B (mat-fiz-chem),169.50
II LO im. Króla Jana III Sobieskiego,Klasa 1C (biol-chem-mat),177.65
II LO im. Króla Jana III Sobieskiego,Klasa 1D (mat-geo-ang),173.50
II LO im. Króla Jana III Sobieskiego,Klasa 1E (mat-ang-hist.szt),168.05
II LO im. Króla Jana III Sobieskiego,Klasa 1F (mat-fiz-ang),173.35
II LO im. Króla Jana III Sobieskiego,Klasa 1G (biol-chem-mat),173.80
II LO im. Króla Jana III Sobieskiego,Klasa 1H (pol-hist-wos),168.30
III LO im. Jana Kochanowskiego,Klasa 1D (biol-chem-mat),171.55
III LO im. Jana Kochanowskiego,Klasa 1C (biol-chem),167.40
III LO im. Jana Kochanowskiego,Klasa 1E (mat-geo-ang),166.90
III LO im. Jana Kochanowskiego,Klasa 1F (mat-fiz),166.10
III LO im. Jana Kochanowskiego,Klasa 1B (pol-wos-ang),163.15
III LO im. Jana Kochanowskiego,Klasa 1A (pol-biol-ang),163.00
IV LO im. Tadeusza Kościuszki,Klasa 1A (mat-fiz-inf),171.05
IV LO im. Tadeusza Kościuszki,Klasa 1B (mat-geo-ang),173.05
IV LO im. Tadeusza Kościuszki,Klasa 1C (biol-chem-mat),173.15
IV LO im. Tadeusza Kościuszki,Klasa 1D (biol-chem-ang),172.00
IV LO im. Tadeusza Kościuszki,Klasa 1E (pol-hist-wos),167.55
IV LO im. Tadeusza Kościuszki,Klasa 1F grupa 1 (geo-ang-niem),164.35
IV LO im. Tadeusza Kościuszki,Klasa 1F grupa 2 (geo-ang-hiszp),168.75
V LO im. Augusta Witkowskiego,Klasa 1A (pol-hist-wos),175.85
V LO im. Augusta Witkowskiego,Klasa 1B (hist-wos-geo),172.60
V LO im. Augusta Witkowskiego,Klasa 1C (mat-chem),181.80
V LO im. Augusta Witkowskiego,Klasa 1D (mat-fiz-inf),178.05
V LO im. Augusta Witkowskiego,Klasa 1E (mat-inf-fiz),186.65
V LO im. Augusta Witkowskiego,Klasa 1F (biol-chem-mat),185.55
V LO im. Augusta Witkowskiego,Klasa 1H (biol-chem-mat),185.55
V LO im. Augusta Witkowskiego,Klasa 1G (mat-fiz-inf),174.60
VI LO im. Adama Mickiewicza,Klasa 1B (dwujęzyczna z językiem angielskim),174.30
VI LO im. Adama Mickiewicza,Kalsa 1C (ogólnodostępna artystyczna),166.45
VI LO im. Adama Mickiewicza,Klasa 1D (ogólnodostępna matematyczno-fizyczna),169.20
VI LO im. Adama Mickiewicza,Klasa 1E (ogólnodostępna biol-chem-mat),173.15
VI LO im. Adama Mickiewicza,Klasa 1H1 (wstępna przygotowująca do nauki w oddziale dwujęzycznym z jęz.hiszp.),167.45
VI LO im. Adama Mickiewicza,Klasa 1M1 (międzynarodowa),178.15
VI LO im. Adama Mickiewicza,Klasa 1M2 (międzynarodowa),178.10
VI LO im. Adama Mickiewicza,Klasa 1H2 (wstępna przygotowująca do nauki w oddziale dwujęzycznym z jęz.hiszp.),166.55
VII LO im. Zofii Nałkowskiej,Klasa 1A (pol-hist-ang),164.20
VII LO im. Zofii Nałkowskiej,Klasa 1B (mat-geo-hist),168.65
VII LO im. Zofii Nałkowskiej,Klasa 1C (mat-fiz-inf),170.10
VII LO im. Zofii Nałkowskiej,Klasa 1D grupa 1 (mat-geo-ang),171.95
VII LO im. Zofii Nałkowskiej,Klasa 1F (biol-chem-mat),173.00
VII LO im. Zofii Nałkowskiej,Klasa 1G (biol-chem-ang),170.55
VII LO im. Zofii Nałkowskiej,Klasa 1D grupa 2 (mat-geo-niem),167.25
VIII LO im. Stanisława Wyspiańskiego,Klasa 1A (biol-chem-mat),177.10
VIII LO im. Stanisława Wyspiańskiego,Klasa 1B (biol-chem-mat),177.10
VIII LO im. Stanisława Wyspiańskiego,Klasa 1C (mat-fiz-inf),175.05
VIII LO im. Stanisława Wyspiańskiego,Klasa 1D (mat-inf-ang),175.90
VIII LO im. Stanisława Wyspiańskiego,Klasa 1E (mat-geo-ang),171.90
VIII LO im. Stanisława Wyspiańskiego,Klasa 1F (mat-fiz-chem),171.75
VIII LO im. Stanisława Wyspiańskiego,Klasa 1G (pol-hist-wos),168.00
IX LO im. Zygmunta Wróblewskiego,Klasa 1A grupa 1 (mat-geo-ang),166.35
IX LO im. Zygmunta Wróblewskiego,Klasa 1B grupa 1 (mat-fiz),163.80
IX LO im. Zygmunta Wróblewskiego,Klasa 1C grupa 1 (biol-chem),167.15
IX LO im. Zygmunta Wróblewskiego,Klasa 1D grupa 1 (humanistyczna),157.15
IX LO im. Zygmunta Wróblewskiego,Klasa 1A grupa 2 (mat-geo-ang),166.90
IX LO im. Zygmunta Wróblewskiego,Klasa 1B grupa 2 (mat-fiz),162.45
IX LO im. Zygmunta Wróblewskiego,Klasa 1C grupa 2 (biol-chem),166.40
IX LO im. Zygmunta Wróblewskiego,Klasa 1D grupa 2 (humanistyczna),156.70
X LO im. Komisji Edukacji Narodowej,Klasa 1A (pol-hist-wos),163.55
X LO im. Komisji Edukacji Narodowej,Klasa 1B (pol-biol-ang),170.05
X LO im. Komisji Edukacji Narodowej,Klasa 1C (biol-chem-mat),173.15
X LO im. Komisji Edukacji Narodowej,Klasa 1D (mat-geo-ang),170.55
X LO im. Komisji Edukacji Narodowej,Klasa 1E (mat-fiz-ang),168.55
X LO im. Komisji Edukacji Narodowej,Klasa 1F (mat-fiz-inf),166.30
XI LO im. Marii Dąbrowskiej,Klasa 1A (matematyczna),162.20
XI LO im. Marii Dąbrowskiej,Klasa 1B (turystyczna),156.30
XI LO im. Marii Dąbrowskiej,Klasa 1C (biologiczno-chemiczna),164.95
XI LO im. Marii Dąbrowskiej,Klasa 1D (językowa),159.00
XI LO im. Marii Dąbrowskiej,Klasa 1E (menadżerska),163.65
XI LO im. Marii Dąbrowskiej,Klasa 1F (humanistyczno-pedagogiczna),155.15
XII LO im. Cypriana Norwida,Klasa 1A (pol-hist),143.85
XII LO im. Cypriana Norwida,Klasa 1B (pol-biol),150.45
XII LO im. Cypriana Norwida,Klasa 1C (biol-chem),153.80
XII LO im. Cypriana Norwida,Klasa 1D (biol-geo),142.05
XII LO im. Cypriana Norwida,Klasa 1E (geo-ang),151.25
XII LO im. Cypriana Norwida,Klasa 1F (mat-chem),143.85
XIII LO im. Obrońców Westerplatte,Klasa 1A (biol-chem-mat),170.20
XIII LO im. Obrońców Westerplatte,Klasa 1B (mat-geo-ang),168.40
XIII LO im. Obrońców Westerplatte,Klasa 1C (mat-chem-ang),165.65
XIII LO im. Obrońców Westerplatte,Klasa 1D (mat-fiz-ang),166.25
XIII LO im. Obrońców Westerplatte,Klasa 1E (biol-pol-ang),167.60
XIII LO im. Obrońców Westerplatte,Klasa 1F (językowa),160.85
XIV LO,Klasa 1A (medyczna),134.55
XIV LO,Klasa 1B (biznesowa),124.35
XIV LO,Klasa 1C (prawniczo-medialna),115.35
XIV LO,Klasa 1D (psychologiczna),121.00
XV LO im. Marii Skłodowskiej-Curie,Klasa 1A (humanistyczna),140.85
XV LO im. Marii Skłodowskiej-Curie,Klasa 1B (geohistoryczna),137.30
XV LO im. Marii Skłodowskiej-Curie,Klasa 1C (biologiczno-medyczna),156.90
XV LO im. Marii Skłodowskiej-Curie,Klasa 1D (przyrodnicza),144.55
XV LO im. Marii Skłodowskiej-Curie,Klasa 1E (mat-inf-ang),152.75
XV LO im. Marii Skłodowskiej-Curie,Klasa 1F (turystyczno-językowa),148.00
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1A grupa 1 (psychologiczno-pedagogiczna),130.45
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1B grupa 1 (matematyczno-geograficzna),119.45
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1C grupa 1 (biologiczno-chemiczna),136.40
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1D grupa 1 (oddział przygotowania wojskowego),95.25
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1E grupa 1 (turystyczna),114.50
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1A grupa 2 (psychologiczno-pedagogiczna),119.10
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1B grupa 2 (matematyczno-geograficzna),62.50
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1C grupa 2 (biologiczno-chemiczna),121.30
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1D grupa 2 (oddział przygotowania wojskowego),64.70
XVI LO im. Krzysztofa Kamila Baczyńskiego,Klasa 1E grupa 2 (turystyczna),91.25
XVII LO im. Młodej Polski,Klasa 1A (dyplomatyczna),97.00
XVII LO im. Młodej Polski,Klasa 1B (dziennikarska),123.95
XVII LO im. Młodej Polski,Klasa 0 (wstępna),148.65
XVIII LO,Klasa 1A (mat-geo-ang),144.75
XVIII LO,Klasa 1B (mat-ang-biz),130.05
XVIII LO,Klasa 1C (hist-pol-ang),122.70
XVIII LO,Klasa 1D (biol-pol-ang),139.20
XX LO im. Leopolda Staffa,Klasa 1A (pol-hist-wos),154.30
XX LO im. Leopolda Staffa,Klasa 1B (mat-geo-ang),163.85
XX LO im. Leopolda Staffa,Klasa 1C (geo-ang-niem),151.15
XX LO im. Leopolda Staffa,Klasa 1D (mat-fiz-inf),158.50
XX LO im. Leopolda Staffa,Klasa 1E (biol-chem),162.85
XX LO im. Leopolda Staffa,Klasa 1F (wos-ang-fr),146.00
XXI Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza-witkacego w Krakowie,Klasa 1 (psychologiczna),96.40
XXI Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza-witkacego w Krakowie,Klasa 1 (humanistyczno-filozoficzna),42.70
XXIII LO,Klasa 1A (lotnicza),148.20
XXIII LO,Klasa 1B (turystyczna),136.90
XXIII LO,Klasa 1C (humanistyczna),133.45
XXIV LO im. św. Jana Pawła II,Klasa 1A (ekonomiczno-społeczna),146.85
XXIV LO im. św. Jana Pawła II,Klasa 1B (fotograficzno-filmowa),122.80
XXIV LO im. św. Jana Pawła II,Klasa 1D (biologiczno-chemiczna z promocją zdrowia),144.65
XXIV LO im. św. Jana Pawła II,Klasa 1E (turystyczna),139.50
XXIV LO im. św. Jana Pawła II,Klasa 1C (proobywatelska),126.45
XXIV LO im. św. Jana Pawła II,Klasa 1F (matematyczno-technologiczna),135.55
XXV LO,Klasa 1A (mundurowa bezpieczeństwa publicznego),106.15
XXV LO,Klasa 1B (mundurowa wojskowa),96.40
XXV LO,Klasa 1C (mundurowa wojskowa),93.65
XXV LO,Klasa 1D (Oddział Przygotowania Wojskowego),96.40
XXV LO,Klasa 1E (mundurowa Bezpieczeństwa Publicznego),88.05
XXVI LO w ZSC im. Marii Skłodowskiej-Curie,Klasa 1 (biologiczno-polonistyczna z językiem migowym),149.80
XXVI LO w ZSC im. Marii Skłodowskiej-Curie,Klasa 1 grupa 1 (biologiczno-chemiczna z analiza medyczną i sądową),155.05
XXVI LO w ZSC im. Marii Skłodowskiej-Curie,Klasa 1 grupa 2 (biologiczno-chemiczna z analiza medyczną i sądową),158.80
XXVII LO im. dra Henryka Jordana,Klasa 1A (humanistyczno-medialna),157.50
XXVII LO im. dra Henryka Jordana,Klasa 1B (geograficzno-turystyczna),160.75
XXVII LO im. dra Henryka Jordana,Klasa 1C (matematyczno-informatyczna),160.35
XXVII LO im. dra Henryka Jordana,Klasa 1D (biologiczno-chemiczna),164.95
XXVII LO im. dra Henryka Jordana,Klasa 1E (biologiczno-matematyczna),162.95
XXVII LO im. dra Henryka Jordana,Klasa 1F (geograficzno-matematyczna),164.05
XXVIII LO im. Wojciecha Bednarskiego,Klasa 1A (psychologiczna),153.40
XXVIII LO im. Wojciecha Bednarskiego,Klasa 1B (ekonomiczna),152.00
XXVIII LO im. Wojciecha Bednarskiego,Klasa 1C (ekologiczna),141.05
XXVIII LO im. Wojciecha Bednarskiego,Klasa 1D (technologiczna),139.60
XXIX LO,Klasa 1A (integracyjna),116.20
XXX LO,Klasa 1A (sportowa - profil taneczny),57.00
XXX LO,Klasa 1C (ogólna - profil turystyczno-językowy),112.35
XXX LO,Klasa 1D (ogólno-integracyjna - profil humanistyczny z elementami psychologii),112.05
XXX LO,Klasa 1E (ogólno-integracyjna - profil promocja zdrowia),110.80
XXXI LO im. Romana Ingardena,Klasa 1 (projektowanie gier komputerowych),154.80
XXXI LO im. Romana Ingardena,Klasa 1 (Game dev),149.75
XLI LO,Klasa 1A (pol-ang-biol),154.70
XLI LO,Klasa 1B (mat-geo-ang),157.40
XLI LO,Klasa 1C (biol-chem-ang),155.80
XLI LO,Klasa 1D grupa 1 (językowa),157.20
XLI LO,Klasa 1D grupa 2 (językowa),151.20
XLII LO,Klasa 1A (ekonomiczna),170.60
XLII LO,Klasa 1B (biologiczno-chemiczna),172.30
XLII LO,Klasa 1C (matematyczno-fizyczna),168.25
XLII LO,Klasa 1D (Humanistyczno-architektoniczna),163.25
XLIII LO,Klasa 1A (mat-inf-ang),142.90
XLIII LO,Klasa 1B (biol-pol-ang),147.20
XLIII LO,Klasa 1C (pol-hist-ang),128.30
XLIII LO,Klasa 1D (geo-wos-ang),135.70
XLIV LO,Klasa 1A (mat-inf-ang),157.20
XLIV LO,Klasa 1B (biol-chem-mat),162.25
XLIV LO,Klasa 1C (prawniczo-lingwistyczna),135.50
XLIV LO,Klasa 1D (mat-ang-ekonomia),148.60
XLV LO w Krakowie,Klasa 1A (biol-chem-ang),123.70
XLV LO w Krakowie,Klasa 1B (humanistyczna),98.85
XLV LO w Krakowie,Klasa 1C (psychologiczno-biologiczna),113.30
XLVI LO w Krakowie,Klasa 1A (geo-his-ang),126.30
XLVI LO w Krakowie,Klasa 1B (pol-his-WOS),124.05
XLVI LO w Krakowie,Klasa 1C (biol-chem-mat),144.20
XLVII LO w Krakowie,Klasa 1 (medialno-językowa),57.00
XLVII LO w Krakowie,Klasa 1 (mat-inf-ang),74.35
Liceum Ogólnokształcące Mistrzostwa Sportowego,Klasa 1A (biol/geo-mat/ang - sportowa pływanie),506.00
Liceum Ogólnokształcące Mistrzostwa Sportowego,Klasa 1B grupa 1 (biol-ang - sportowa piłka nożna),58.00
Liceum Ogólnokształcące Mistrzostwa Sportowego,Klasa 1B grupa 2 (biol-ang - sportowa kajakarstwo slalomowe),100.00
Liceum Ogólnokształcące Mistrzostwa Sportowego,Klasa 1C (biol/geo-mat/ang),117.65
